nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3570, 3.596790887E-03, 5.418581044E-03, 1.823422515E-02, 9.998239774E+06
      3571, 3.528952283E-03, 5.463172678E-03, 1.823421774E-02, 9.998244131E+06
      3572, 3.460914661E-03, 5.507467355E-03, 1.823422534E-02, 9.998247098E+06
      3573, 3.391383137E-03, 5.549377896E-03, 1.823422110E-02, 9.998249005E+06
      3574, 3.321854898E-03, 5.591286460E-03, 1.823421686E-02, 9.998250113E+06
      3575, 3.252326683E-03, 5.633195065E-03, 1.823421328E-02, 9.998250477E+06
      3576, 6.495835089E-03, 1.511801288E-12, 1.842546049E-02, 9.998195737E+06
      3577, 6.494316727E-03, 8.056665121E-05, 1.842546391E-02, 9.998195501E+06
      3578, 6.492798355E-03, 1.611333007E-04, 1.842546811E-02, 9.998194613E+06
      3579, 6.491279849E-03, 2.417036940E-04, 1.842547232E-02, 9.998193026E+06
      3580, 6.487029978E-03, 3.221764083E-04, 1.842546462E-02, 9.998190482E+06
      3581, 6.482366662E-03, 4.026223255E-04, 1.842547199E-02, 9.998186645E+06
      3582, 6.477703129E-03, 4.830719824E-04, 1.842547936E-02, 9.998181526E+06
      3583, 6.470747432E-03, 5.633564170E-04, 1.842546291E-02, 9.998174558E+06
      3584, 6.453858954E-03, 7.368672321E-04, 1.842548419E-02, 9.998158597E+06
      3585, 6.430981800E-03, 9.096922427E-04, 1.842547552E-02, 9.998140145E+06
      3586, 6.404432436E-03, 1.081983851E-03, 1.842546344E-02, 9.998124594E+06
      3587, 6.373692344E-03, 1.253578373E-03, 1.842547621E-02, 9.998115299E+06
      3588, 6.337083184E-03, 1.424019930E-03, 1.842547836E-02, 9.998115747E+06
      3589, 6.296574155E-03, 1.593572705E-03, 1.842546574E-02, 9.998126312E+06
      3590, 6.252220220E-03, 1.762157337E-03, 1.842546777E-02, 9.998145139E+06
      3591, 6.202582523E-03, 1.929260692E-03, 1.842546229E-02, 9.998163208E+06
      3592, 6.148399495E-03, 2.094945700E-03, 1.842546916E-02, 9.998175034E+06
      3593, 6.089956865E-03, 2.259178342E-03, 1.842546995E-02, 9.998175817E+06
      3594, 6.027126360E-03, 2.421782585E-03, 1.842547041E-02, 9.998167450E+06
      3595, 5.959953946E-03, 2.582641246E-03, 1.842547049E-02, 9.998155618E+06
      3596, 5.888487619E-03, 2.741637931E-03, 1.842547007E-02, 9.998149163E+06
      3597, 5.853803573E-03, 2.815406120E-03, 1.842546448E-02, 9.998150696E+06
      3598, 5.817773602E-03, 2.888526677E-03, 1.842546862E-02, 9.998156966E+06
      3599, 5.781344798E-03, 2.961449663E-03, 1.842546463E-02, 9.998167815E+06
      3600, 5.743402541E-03, 3.033597117E-03, 1.842546708E-02, 9.998181024E+06
      3601, 5.705254963E-03, 3.105636639E-03, 1.842546499E-02, 9.998194154E+06
      3602, 5.665422213E-03, 3.176758635E-03, 1.842546548E-02, 9.998203927E+06
      3603, 5.625581352E-03, 3.247876642E-03, 1.842546556E-02, 9.998208266E+06
      3604, 5.584180630E-03, 3.317489150E-03, 1.842546548E-02, 9.998206001E+06
      3605, 5.542771822E-03, 3.387096279E-03, 1.842546502E-02, 9.998197864E+06
      3606, 5.499762209E-03, 3.455725403E-03, 1.842546712E-02, 9.998185580E+06
      3607, 5.456533035E-03, 3.524216029E-03, 1.842546478E-02, 9.998172116E+06
      3608, 5.411931772E-03, 3.591820786E-03, 1.842546873E-02, 9.998160093E+06
      3609, 5.366917201E-03, 3.659150763E-03, 1.842546481E-02, 9.998152169E+06
      3610, 5.320743418E-03, 3.725690782E-03, 1.842547032E-02, 9.998149312E+06
      3611, 5.218844995E-03, 3.867160818E-03, 1.842547081E-02, 9.998155294E+06
      3612, 5.113184528E-03, 4.005844611E-03, 1.842547080E-02, 9.998167481E+06
      3613, 5.003838519E-03, 4.141642099E-03, 1.842547040E-02, 9.998177300E+06
      3614, 4.890885551E-03, 4.274454858E-03, 1.842546966E-02, 9.998177498E+06
      3615, 4.774533211E-03, 4.404297724E-03, 1.842546282E-02, 9.998165895E+06
      3616, 4.654695827E-03, 4.530930099E-03, 1.842546512E-02, 9.998147587E+06
      3617, 4.530904417E-03, 4.653702507E-03, 1.842546630E-02, 9.998128694E+06
      3618, 4.404398002E-03, 4.773681440E-03, 1.842547894E-02, 9.998117213E+06
      3619, 4.275122512E-03, 4.890676023E-03, 1.842547359E-02, 9.998115713E+06
      3620, 4.141911697E-03, 5.003165155E-03, 1.842546401E-02, 9.998124788E+06
      3621, 4.006041028E-03, 5.112426783E-03, 1.842547602E-02, 9.998139895E+06
      3622, 3.867860035E-03, 5.218763464E-03, 1.842548394E-02, 9.998158532E+06
      3623, 3.726025624E-03, 5.320172714E-03, 1.842546333E-02, 9.998174866E+06
      3624, 3.659644267E-03, 5.366715230E-03, 1.842547962E-02, 9.998182273E+06
      3625, 3.591897676E-03, 5.411246382E-03, 1.842547221E-02, 9.998187799E+06
      3626, 3.524154456E-03, 5.455775318E-03, 1.842546480E-02, 9.998192077E+06
      3627, 3.456212225E-03, 5.500007288E-03, 1.842547239E-02, 9.998194945E+06
      3628, 3.386778474E-03, 5.541858897E-03, 1.842546816E-02, 9.998196771E+06
      3629, 3.317347997E-03, 5.583708534E-03, 1.842546393E-02, 9.998197797E+06
      3630, 3.247917545E-03, 5.625558214E-03, 1.842546039E-02, 9.998198081E+06
      3631, 6.487016814E-03, 1.511801298E-12, 1.861670757E-02, 9.998132732E+06
      3632, 6.485500581E-03, 8.045323286E-05, 1.861671097E-02, 9.998132570E+06
      3633, 6.483984346E-03, 1.609064642E-04, 1.861671517E-02, 9.998131740E+06
      3634, 6.482468000E-03, 2.413634345E-04, 1.861671937E-02, 9.998130161E+06
      3635, 6.478224599E-03, 3.217228896E-04, 1.861671168E-02, 9.998127588E+06
      3636, 6.473567848E-03, 4.020555595E-04, 1.861671904E-02, 9.998123702E+06
      3637, 6.468910881E-03, 4.823919618E-04, 1.861672640E-02, 9.998118404E+06
      3638, 6.461965940E-03, 5.625634590E-04, 1.861670997E-02, 9.998111230E+06
      3639, 6.445100132E-03, 7.358413639E-04, 1.861673123E-02, 9.998095294E+06
      3640, 6.422254707E-03, 9.084345202E-04, 1.861672256E-02, 9.998077264E+06
      3641, 6.395741803E-03, 1.080494983E-03, 1.861671050E-02, 9.998062807E+06
      3642, 6.365043322E-03, 1.251859237E-03, 1.861672327E-02, 9.998055030E+06
      3643, 6.328483642E-03, 1.422072083E-03, 1.861672541E-02, 9.998057166E+06
      3644, 6.288029505E-03, 1.591397385E-03, 1.861671280E-02, 9.998070022E+06
      3645, 6.243735300E-03, 1.759755773E-03, 1.861671484E-02, 9.998091850E+06
      3646, 6.194164477E-03, 1.926634896E-03, 1.861670935E-02, 9.998112728E+06
      3647, 6.140054277E-03, 2.092097529E-03, 1.861671622E-02, 9.998125560E+06
      3648, 6.081690218E-03, 2.256109759E-03, 1.861671700E-02, 9.998124675E+06
      3649, 6.018944051E-03, 2.418495732E-03, 1.861671747E-02, 9.998113704E+06
      3650, 5.951861775E-03, 2.579138453E-03, 1.861671754E-02, 9.998099399E+06
      3651, 5.880491285E-03, 2.737921667E-03, 1.861671712E-02, 9.998090552E+06
      3652, 5.845862878E-03, 2.811595248E-03, 1.861671202E-02, 9.998090800E+06
