       22.,    0.164963386000000E+09,    0.175568842000000E+09,    0.136133608000000E+09,    0.145394130000000E+08,   -0.687406480000000E+08,   -0.524615105000000E+08
       23.,    0.135194188000000E+09,    0.144788844000000E+09,    0.150536364000000E+09,    0.101875865000000E+08,   -0.540885480000000E+08,   -0.393671880000000E+08
       24.,    0.151290084000000E+09,    0.162981616000000E+09,    0.154376654000000E+09,    0.123869621250000E+08,   -0.673691780000000E+08,   -0.498028500000000E+08
       25.,    0.150005512000000E+09,    0.156755012000000E+09,    0.133817950000000E+09,    0.109511120000000E+08,   -0.545694010000000E+08,   -0.443864550000000E+08
       26.,    0.166275228000000E+09,    0.174026730000000E+09,    0.135013160000000E+09,    0.132571010000000E+08,   -0.660144435000000E+08,   -0.542380130000000E+08
       27.,    0.135959848000000E+09,    0.143899492000000E+09,    0.149053116000000E+09,    0.917261275000000E+07,   -0.518944420000000E+08,   -0.407553670000000E+08
       28.,    0.152313420000000E+09,    0.161867370000000E+09,    0.152805774000000E+09,    0.111030452500000E+08,   -0.647009245000000E+08,   -0.514154870000000E+08
       29.,    0.151303368000000E+09,    0.155632472000000E+09,    0.133050120000000E+09,    0.100244942500000E+08,   -0.522282530000000E+08,   -0.460563230000000E+08
       30.,    0.167811574000000E+09,    0.172797898000000E+09,    0.134091445000000E+09,    0.120564802500000E+08,   -0.630955670000000E+08,   -0.562405245000000E+08
       31.,    0.137062980000000E+09,    0.143273252000000E+09,    0.147909240000000E+09,    0.831446525000000E+07,   -0.497036470000000E+08,   -0.421596530000000E+08
       32.,    0.153666024000000E+09,    0.161082944000000E+09,    0.151608014000000E+09,    0.100122287500000E+08,   -0.618386640000000E+08,   -0.534071130000000E+08
       33.,    0.152627380000000E+09,    0.155085172000000E+09,    0.132577962000000E+09,    0.933442325000000E+07,   -0.498648650000000E+08,   -0.476751150000000E+08
       34.,    0.169514148000000E+09,    0.172001312000000E+09,    0.133668282000000E+09,    0.111763463750000E+08,   -0.603844355000000E+08,   -0.584177435000000E+08
       35.,    0.138226216000000E+09,    0.142947400000000E+09,    0.147293504000000E+09,    0.765547125000000E+07,   -0.474550340000000E+08,   -0.439776620000000E+08
       36.,    0.155278098000000E+09,    0.160699092000000E+09,    0.150892020000000E+09,    0.921966125000000E+07,   -0.591349080000000E+08,   -0.555008315000000E+08
       37.,    0.154113176000000E+09,    0.154705948000000E+09,    0.132453928000000E+09,    0.879393700000000E+07,   -0.476403980000000E+08,   -0.497583090000000E+08
       38.,    0.171549862000000E+09,    0.171690844000000E+09,    0.133611344000000E+09,    0.105300592500000E+08,   -0.576726105000000E+08,   -0.608523435000000E+08
       39.,    0.139808204000000E+09,    0.142724916000000E+09,    0.146884808000000E+09,    0.725753300000000E+07,   -0.452431840000000E+08,   -0.458128160000000E+08
       40.,    0.157221274000000E+09,    0.160698994000000E+09,    0.150709948000000E+09,    0.875964625000000E+07,   -0.564326785000000E+08,   -0.579063650000000E+08
       41.,    0.155768944000000E+09,    0.154481144000000E+09,    0.132569012000000E+09,    0.852023500000000E+07,   -0.456331940000000E+08,   -0.516076690000000E+08
       42.,    0.173594800000000E+09,    0.171747492000000E+09,    0.133878010000000E+09,    0.102285995000000E+08,   -0.552861055000000E+08,   -0.631722820000000E+08
       43.,    0.141379092000000E+09,    0.142784588000000E+09,    0.146922516000000E+09,    0.707696062500000E+07,   -0.432302530000000E+08,   -0.475612710000000E+08
