nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      5550, 2.310172169E-04, 1.676892692E-04, 2.930788927E-02, 1.007382210E+07
      5551, 2.313894259E-04, 1.740167818E-04, 2.930777454E-02, 1.007345786E+07
      5552, 2.317604817E-04, 1.803451563E-04, 2.930765980E-02, 1.007308769E+07
      5553, 2.256777307E-04, 1.703192556E-04, 2.930789746E-02, 1.007405145E+07
      5554, 2.260198536E-04, 1.765819733E-04, 2.930778416E-02, 1.007368626E+07
      5555, 2.189274523E-04, 1.729438180E-04, 2.930792008E-02, 1.007438569E+07
      5556, 2.040898750E-04, 1.870156348E-04, 2.930782423E-02, 1.007447912E+07
      5557, 1.904905712E-04, 1.949652378E-04, 2.930782314E-02, 1.007485482E+07
      5558, 1.916713727E-04, 2.008551467E-04, 2.930770786E-02, 1.007438941E+07
      5559, 1.794785367E-04, 2.094430392E-04, 2.930777951E-02, 1.007448932E+07
      5560, 1.892136601E-04, 1.886345225E-04, 2.930794713E-02, 1.007533088E+07
      5561, 1.775806665E-04, 2.027855856E-04, 2.930787157E-02, 1.007509876E+07
      5562, 1.794785367E-04, 2.094430392E-04, 2.930777951E-02, 1.007448932E+07
      5563, 2.760287813E-04, 1.108515848E-05, 2.930808625E-02, 1.007461700E+07
      5564, 2.808486027E-04, 2.216582325E-05, 2.930797826E-02, 1.007414236E+07
      5565, 2.719899764E-04, 4.701145525E-05, 2.930804627E-02, 1.007451904E+07
      5566, 2.709713844E-04, 6.113685724E-05, 2.930802157E-02, 1.007442480E+07
      5567, 2.712091408E-04, 7.569063585E-05, 2.930797064E-02, 1.007407082E+07
      5568, 2.719022041E-04, 9.173091669E-05, 2.930786455E-02, 1.007372008E+07
      5569, 2.664035319E-04, 9.490167398E-05, 2.930795926E-02, 1.007409079E+07
      5570, 2.677081445E-04, 1.021108309E-04, 2.930789120E-02, 1.007376150E+07
      5571, 2.665027995E-04, 3.525853055E-05, 2.930816672E-02, 1.007513464E+07
      5572, 2.652862148E-04, 4.885357163E-05, 2.930814668E-02, 1.007511015E+07
      5573, 2.652107960E-04, 6.326801588E-05, 2.930810627E-02, 1.007487839E+07
      5574, 2.654036582E-04, 7.842845252E-05, 2.930805948E-02, 1.007452910E+07
      5575, 2.664035319E-04, 9.490167398E-05, 2.930795926E-02, 1.007409079E+07
      5576, 2.595962537E-04, 8.116519142E-05, 2.930814317E-02, 1.007494911E+07
      5577, 2.609049572E-04, 9.807251271E-05, 2.930805397E-02, 1.007445206E+07
      5578, 2.554064006E-04, 1.012433675E-04, 2.930814868E-02, 1.007479339E+07
      5579, 2.565290418E-04, 1.083244989E-04, 2.930808508E-02, 1.007446395E+07
      5580, 2.569828637E-04, 1.143693873E-04, 2.930804115E-02, 1.007422568E+07
      5581, 2.526994081E-04, 1.305713421E-04, 2.930803629E-02, 1.007394892E+07
      5582, 2.533660890E-04, 1.371384845E-04, 2.930798500E-02, 1.007363751E+07
      5583, 2.480823445E-04, 1.465421104E-04, 2.930793986E-02, 1.007364661E+07
      5584, 2.474947447E-04, 1.400345259E-04, 2.930806168E-02, 1.007397149E+07
      5585, 2.421482540E-04, 1.493769770E-04, 2.930806174E-02, 1.007395057E+07
      5586, 2.426628664E-04, 1.558263671E-04, 2.930797885E-02, 1.007359981E+07
      5587, 2.366542175E-04, 1.585947719E-04, 2.930799141E-02, 1.007388901E+07
      5588, 2.370983224E-04, 1.649874449E-04, 2.930787480E-02, 1.007353053E+07
      5589, 2.306438236E-04, 1.613598483E-04, 2.930800405E-02, 1.007417692E+07
      5590, 2.253372449E-04, 1.640555520E-04, 2.930801075E-02, 1.007440482E+07
